#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:01:28      0      7      0      0      0      0      0      0      0 
 17:01:29      0      0      0      0      0      0      0      0      9 
 17:01:30      0      0      0      0      0      0      0      0      0 
 17:01:31      0      0      0      0      0      0      0      0      0 
 17:01:32      0      0      0      0      0      0      0      0      0 
 17:01:33      0      0      0      0      0      0      0      0      0 
 17:01:34      0      0      0      0      0      0      0      0      0 
 17:01:35      0      0      0      0      0      0      0      0      0 
 17:01:36      0      0      0      0      0      0      0      0      0 
 17:01:37      0      0      0      0      0      0      0      0      0 
 17:01:38      0      0      0      0      0      0      0      0      0 
 17:01:39      0      0      0      0      0      0      0      0      0 
 17:01:41      0      0      0      0      0      0      0      0      0 
 17:01:42      0      4      0      0      0      0      0      6      0 
 17:01:43      0      0      0      0      0      0      0      0      0 
 17:01:44      0     11      9      0      0      0      0     18      5 
 17:01:45      0      0      0      0      0      0      0      0      0 
 17:01:46      0     75     72      0      0      0      0      7      1 
 17:01:47      0     76     39      0      0      0      0     16      5 
 17:01:48      0     89     80      0      0      0      0     15      4 
 17:01:49      0    100     82      0      0      0      0   2466    965 
 17:01:50      0    100     77      0      0      0      0   2485    481 
 17:01:51      0     93     68      0      0      0      0   2651    865 
 17:01:52      0     96     65      0      0      0      0   2513    266 
 17:01:53      0    100     76      0      0      0      0   1506    217 
 17:01:54      0    100     76      0      0      0      0   2667    157 
 17:01:55      0    100     74      0      0      0      0   1079    196 
 17:01:56      0    100     78      0      0      0      0   1603    173 
 17:01:57      0    100     82      0      0      0      0   1333    132 
 17:01:59      0    100     91      0      0      0      0    468     27 
 17:02:00      0    100     95      0      0      0      0      9     92 
 17:02:01      0    100     95      0      0      0      0     19      6 
 17:02:02      0     78     43      0      0      0      0   3329    425 
 17:02:03      0     75     51      0      0      0      0     15      5 
 17:02:04      0     99     66      0      0      0      0   2143    201 
 17:02:05      0     93     67      0      0      0      0   1971   1118 
 17:02:06      0     97     68      0      0      0      0   1438    218 
 17:02:07      0    100     70      0      0      0      0   1354    197 
 17:02:08      0    100     74      0      0      0      0    820    206 
 17:02:09      0    100     75      0      0      0      0   1376    147 
 17:02:10      0    100     74      0      0      0      0    361     26 
 17:02:11      0    100     91      0      0      0      0     27      0 
 17:02:12      0    100     93      0      0      0      0    224     61 
 17:02:13      0    100     91      0      0      0      0     22      7 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:02:14      0    100     91      0      0      0      0     18      6 
 17:02:15      0     85     57      0      0      0      0     21      5 
 17:02:17      0     83     59      0      0      0      0     12      5 
 17:02:18      0     85     59      0      0      0      0    845    570 
 17:02:19      0     93     66      0      0      0      0   3771    547 
 17:02:20      0     61     46      0      0      0      0      0      0 
 17:02:21      0     98     59      0      0      0      0      1      0 
 17:02:22      0    100     75      0      0      0      0   1276    181 
 17:02:23      0    100     77      0      0      0      0    981     83 
 17:02:24      0    100     78      0      0      0      0     72     28 
 17:02:25      0    100     90      0      0      0      0    737      0 
 17:02:26      0    100     87      0      0      0      0      7     92 
 17:02:27      0    100     92      0      0      0      0    694      7 
 17:02:28      0    100     93      0      0      0      0     22      7 
 17:02:29      0     85     55      0      0      0      0     17      6 
 17:02:30      0     81     50      0      0      0      0     20      5 
 17:02:31      0     85     59      0      0      0      0     16      5 
 17:02:32      0     83     54      0      0      0      0     16      5 
 17:02:33      0     96     83      0      0      0      0     14      4 
