#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:21:20      0      7      0      0      0      0      0      0      0 
 16:21:21      0      0      0      0      0      0      0      0      0 
 16:21:22      0      0      0      0      0      0      0      0      0 
 16:21:23      0      0      0      0      0      0      0      0      0 
 16:21:24      0      0      0      0      0      0      0      0      0 
 16:21:25      0      0      0      0      0      0      0      0      0 
 16:21:26      0      0      0      0      0      0      0      0      0 
 16:21:27      0      0      0      0      0      0      0      0      0 
 16:21:28      0      0      0      0      0      0      0      0      0 
 16:21:29      0      0      0      0      0      0      0      0      0 
 16:21:31      0      0      0      0      0      0      0      0      0 
 16:21:32      0      0      0      0      0      0      0      5      0 
 16:21:33      0      0      0      0      0      0      0      0      0 
 16:21:34      0      3      0      0      0      0      0      4      0 
 16:21:35      0      0      0      0      0      0      0      0      0 
 16:21:36      0     14      2      0      0      0      0     11      5 
 16:21:37      0      7      3      0      0      0      0    152   1302 
 16:21:38      0     67     18      0      0      0      0   1607   1002 
 16:21:39      0     69     18      0      0      0      0      0    222 
 16:21:40      0     69     17      0      0      0      0   1381   1648 
 16:21:41      0     59     18      0      0      0      0    813   1573 
 16:21:42      0     70     18      0      0      0      0     61   2524 
 16:21:43      0     67     16      0      0      0      0     42    239 
 16:21:44      0     68     18      0      0      0      0    853    569 
 16:21:45      0     68     18      0      0      0      0      0     33 
 16:21:46      0     65     22      0      0      0      0   1118   1104 
 16:21:47      0     79     17      0      0      0      0    767   1054 
 16:21:48      0     72     18      0      0      0      0   1691   1570 
 16:21:50      0     68     17      0      0      0      0      4     14 
 16:21:51      0     67     18      0      0      0      0    785      5 
 16:21:52      0     66     18      0      0      0      0    295     10 
 16:21:53      0     68     18      0      0      0      0   1474    851 
 16:21:54      0     72     16      0      0      0      0   1022      4 
 16:21:55      0     67     22      0      0      0      0   2303   1535 
 16:21:56      0     73     18      0      0      0      0   1462      4 
 16:21:57      0     54     18      0      0      0      0   1687   1047 
 16:21:58      0     66     18      0      0      0      0     57   1892 
 16:21:59      0     53     17      0      0      0      0   2258    876 
 16:22:00      0     68     19      0      0      0      0     62   2140 
 16:22:01      0     68     19      0      0      0      0   2985    825 
 16:22:02      0     65     18      0      0      0      0   1389   1294 
 16:22:03      0     68     20      0      0      0      0      3    192 
 16:22:04      0     32     25      0      0      0      0     56      8 
 16:22:05      0     65     19      0      0      0      0     13     13 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:22:06      0     66     18      0      0      0      0   1153    481 
 16:22:07      0     69     21      0      0      0      0   2092    810 
 16:22:09      0     59     19      0      0      0      0   1136    279 
 16:22:10      0     62     21      0      0      0      0      1    184 
 16:22:11      0     55     18      0      0      0      0    432   2429 
 16:22:12      0     67     20      0      0      0      0   1091    418 
 16:22:13      0     77     16      0      0      0      0   1252    673 
 16:22:14      0     74     18      0      0      0      0   1029    768 
 16:22:15      0     64     16      0      0      0      0    865     41 
 16:22:16      0     68     15      0      0      0      0   1198      9 
 16:22:17      0     80     17      0      0      0      0   1093    647 
 16:22:18      0     72     16      0      0      0      0   2225   1512 
 16:22:19      0     68     18      0      0      0      0   1895    647 
 16:22:20      0     74     18      0      0      0      0   2113   1121 
 16:22:21      0     67     18      0      0      0      0   1605     11 
 16:22:22      0     67     16      0      0      0      0     59      0 
 16:22:23      0     79     18      0      0      0      0    494    738 
 16:22:24      0     67     16      0      0      0      0    210      9 
 16:22:25      0     69     18      0      0      0      0     13     13 
 16:22:26      0     79     16      0      0      0      0   1158   1584 
 16:22:28      0     68     16      0      0      0      0   1366    763 
 16:22:29      0     81     16      0      0      0      0     61   1904 
 16:22:30      0     65     20      0      0      0      0     61    889 
 16:22:31      0     64     18      0      0      0      0   2312   1536 
 16:22:32      0     68     19      0      0      0      0     10     15 
 16:22:33      0     73     24      0      0      0      0   1331    731 
 16:22:34      0     31     24      0      0      0      0     56      8 
 16:22:35      0     67     18      0      0      0      0     52    248 
 16:22:36      0     73     16      0      0      0      0    688      1 
 16:22:37      0     53     12      0      0      0      0   2383    931 
 16:22:38      0     66     18      0      0      0      0    475    171 
 16:22:39      0     68     18      0      0      0      0   1451      0 
 16:22:40      0     68     15      0      0      0      0     42    731 
 16:22:41      0     83      9      0      0      0      0     26     12 
 16:22:42      0     67     16      0      0      0      0      9     13 
 16:22:43      0     68     18      0      0      0      0      0    168 
 16:22:44      0     68     17      0      0      0      0    780      0 
 16:22:45      0     62     20      0      0      0      0     60    839 
 16:22:47      0     66     18      0      0      0      0   1750   1181 
 16:22:48      0     78     16      0      0      0      0   1926   1130 
 16:22:49      0     72     15      0      0      0      0   1760   1248 
 16:22:50      0     80     16      0      0      0      0    117   2338 
 16:22:51      0     75     11      0      0      0      0   1171   2138 
 16:22:52      0     77     16      0      0      0      0    412   2802 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:22:53      0     68     18      0      0      0      0      2    612 
 16:22:54      0     68     18      0      0      0      0     63   1381 
 16:22:55      0     72     15      0      0      0      0   1442   1310 
 16:22:56      0     68     18      0      0      0      0     87   2478 
 16:22:57      0     68     18      0      0      0      0    157     13 
 16:22:58      0     67     16      0      0      0      0   2926    313 
