"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t01",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet50_cifar10_deepspeed_stage_2_batch1024_nodes3/dstat_r1t01.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","05 Apr 2024 19:44:50 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.005,0.700,16007475200.0,1069056.0,6421921792.0,5.18356881408e+11,0.0,0.0,0.0,0.0,05-04 19:44:50
0.0,0.0,16035102720.0,1069056.0,6421921792.0,5.18329253888e+11,12340.0,9688.0,6106.0,5782.0,05-04 19:44:51
0.0,0.0,16007127040.0,1069056.0,6421921792.0,5.18357229568e+11,18876.0,17796.0,11603.0,12607.0,05-04 19:44:52
0.0,0.0,16005451776.0,1069056.0,6425001984.0,5.1835582464e+11,2953288.0,25968.0,10328.0,11058.0,05-04 19:44:53
0.0,0.0,16005570560.0,1069056.0,6425001984.0,5.18355705856e+11,2404.0,2308.0,1260.0,724.0,05-04 19:44:54
4.0,0.0,16048635904.0,1069056.0,6469664768.0,5.18267977728e+11,46362240.0,31308.0,6686.0,30283.0,05-04 19:44:55
0.0,3.0,16201043968.0,1069056.0,6662946816.0,5.17922287616e+11,204079152.0,172904.0,0.0,0.0,05-04 19:44:56
0.0,2.0,16317050880.0,1069056.0,7352139776.0,5.17117087744e+11,707524996.0,192232.0,0.0,0.0,05-04 19:44:57
0.0,0.0,16379150336.0,1069056.0,7519240192.0,5.16887887872e+11,186567248.0,606932.0,264.0,132.0,05-04 19:44:58
0.0,5.0,16406315008.0,1069056.0,7522320384.0,5.16857643008e+11,3242408.0,208888.0,10150.0,4432.0,05-04 19:44:59
0.0,0.0,16433680384.0,1069056.0,7522320384.0,5.16830277632e+11,40440.0,29692.0,8408.0,4206.0,05-04 19:45:00
0.0,0.0,16606597120.0,1069056.0,7523090432.0,5.16656590848e+11,293236.0,238672.0,264.0,132.0,05-04 19:45:01
0.0,1451.0,16639066112.0,1069056.0,7536951296.0,5.16610260992e+11,5515524.0,353684.0,2259.0,842.0,05-04 19:45:02
0.0,0.0,16654913536.0,1069056.0,7562362880.0,5.16569001984e+11,25097352.0,514620.0,0.0,0.0,05-04 19:45:03
0.0,0.0,16672935936.0,1069056.0,7597785088.0,5.16515557376e+11,36437808.0,735616.0,1738.0,3927.0,05-04 19:45:04
0.0,0.0,16711884800.0,1069056.0,7616266240.0,5.1645812736e+11,18201720.0,507564.0,1738.0,1503.0,05-04 19:45:05
0.0,0.0,16835854336.0,1069056.0,7719452672.0,5.16230971392e+11,107370244.0,306384.0,505.0,222.0,05-04 19:45:06
0.0,32.0,16854753280.0,1069056.0,7743324160.0,5.1618820096e+11,15027660.0,648016.0,452.0,174.0,05-04 19:45:07
0.0,0.0,17390186496.0,1069056.0,7761035264.0,5.1563505664e+11,17083236.0,35044.0,1014.0,746.0,05-04 19:45:08
0.0,0.0,17694691328.0,1069056.0,7892713472.0,5.151988736e+11,125170372.0,34884.0,7424.0,4087.0,05-04 19:45:09
0.0,0.0,17727942656.0,1069056.0,8166080512.0,5.14892255232e+11,166637112.0,225668.0,1738.0,1503.0,05-04 19:45:10
0.0,0.0,17697243136.0,1069056.0,8274657280.0,5.14814377984e+11,30378720.0,43412.0,2832.0,1066.0,05-04 19:45:11
0.0,0.0,17787830272.0,1069056.0,8335491072.0,5.14662957056e+11,16493680.0,9196.0,228.0,132.0,05-04 19:45:12
0.0,0.0,18062471168.0,1069056.0,8711274496.0,5.14012532736e+11,367176584.0,7706420.0,60.0,42.0,05-04 19:45:13
0.0,0.0,18312167424.0,1069056.0,8923037696.0,5.1355107328e+11,230864960.0,68636.0,1738.0,17371.0,05-04 19:45:14
0.0,0.0,18548281344.0,1069056.0,8963080192.0,5.13274916864e+11,41260324.0,19128.0,1966.0,1635.0,05-04 19:45:15
0.0,0.0,18626420736.0,1069056.0,9120169984.0,5.1303968768e+11,129524424.0,41808.0,303.0,0.0,05-04 19:45:16
0.0,0.0,18885541888.0,1069056.0,9232596992.0,5.1266813952e+11,125520384.0,40980.0,0.0,0.0,05-04 19:45:17
0.0,0.0,18885853184.0,1069056.0,9237217280.0,5.12663207936e+11,1792.0,3472.0,0.0,0.0,05-04 19:45:18
0.0,0.0,18886578176.0,1069056.0,9237217280.0,5.12662482944e+11,2012.0,4216.0,1738.0,1503.0,05-04 19:45:19
0.0,0.0,18889158656.0,1069056.0,9237217280.0,5.12659902464e+11,2012.0,4676.0,1738.0,1503.0,05-04 19:45:20
0.0,0.0,18912190464.0,1069056.0,9246457856.0,5.1262763008e+11,2332.0,5312.0,0.0,5166.0,05-04 19:45:21
0.0,0.0,18911940608.0,1069056.0,9259548672.0,5.1261478912e+11,668.0,1760.0,0.0,0.0,05-04 19:45:22
0.0,2309.0,18913869824.0,1069056.0,9259548672.0,5.12612859904e+11,1792.0,5452.0,0.0,0.0,05-04 19:45:23
0.0,0.0,18914144256.0,1069056.0,9268789248.0,5.12603344896e+11,2436.0,6424.0,1738.0,1503.0,05-04 19:45:24
0.0,0.0,18913579008.0,1069056.0,9256468480.0,5.12616230912e+11,2112.0,6540.0,1738.0,1503.0,05-04 19:45:25
0.0,0.0,18917572608.0,1069056.0,9257238528.0,5.12611467264e+11,1792.0,6704.0,0.0,292.0,05-04 19:45:26
0.0,0.0,18917548032.0,1069056.0,9265709056.0,5.12603021312e+11,2012.0,7452.0,0.0,0.0,05-04 19:45:27
0.0,17.0,18918797312.0,1069056.0,9265709056.0,5.12601772032e+11,2012.0,7900.0,303.0,0.0,05-04 19:45:28
0.0,9.0,18933784576.0,1069056.0,9283420160.0,5.12569073664e+11,448.0,1852.0,1738.0,1503.0,05-04 19:45:29
0.0,0.0,18937831424.0,1069056.0,9291120640.0,5.12557326336e+11,3096.0,9392.0,1738.0,1503.0,05-04 19:45:30
0.0,0.0,18937188352.0,1069056.0,9291890688.0,5.1255719936e+11,2540.0,9264.0,0.0,0.0,05-04 19:45:31
0.0,0.0,18951917568.0,1069056.0,9291120640.0,5.12543240192e+11,2080.0,9304.0,60.0,42.0,05-04 19:45:32
0.0,206.0,18952691712.0,1069056.0,9287270400.0,5.12546316288e+11,3436.0,39412.0,0.0,0.0,05-04 19:45:33
0.0,0.0,18972225536.0,1069056.0,9300361216.0,5.12513691648e+11,16491732.0,15804.0,1738.0,1503.0,05-04 19:45:34
0.0,0.0,18987995136.0,1069056.0,9306521600.0,5.12491761664e+11,2080.0,10616.0,2344.0,1503.0,05-04 19:45:35
0.0,0.0,18992865280.0,1069056.0,9294970880.0,5.1249844224e+11,3692.0,17656.0,0.0,0.0,05-04 19:45:36
0.0,7.0,18992541696.0,1069056.0,9307291648.0,5.12486445056e+11,668.0,2312.0,0.0,0.0,05-04 19:45:37
0.0,9.0,18993618944.0,1069056.0,9328082944.0,5.12464576512e+11,2400.0,12032.0,90.0,90.0,05-04 19:45:38
0.0,0.0,18994438144.0,1069056.0,9328852992.0,5.12462987264e+11,2300.0,12492.0,1738.0,1503.0,05-04 19:45:39
0.0,0.0,19000614912.0,1069056.0,9316532224.0,5.12469131264e+11,2520.0,13124.0,1738.0,1503.0,05-04 19:45:40
0.0,0.0,19002257408.0,1069056.0,9325002752.0,5.1245901824e+11,2960.0,13924.0,0.0,0.0,05-04 19:45:41
0.0,0.0,19001839616.0,1069056.0,9325772800.0,5.12458665984e+11,2080.0,13680.0,0.0,0.0,05-04 19:45:42
0.0,0.0,19007971328.0,1069056.0,9330393088.0,5.12447913984e+11,7084.0,35040.0,60.0,42.0,05-04 19:45:43
0.0,0.0,19010179072.0,1069056.0,9351184384.0,5.12424914944e+11,1072.0,6680.0,1738.0,1503.0,05-04 19:45:44
0.0,0.0,19008499712.0,1069056.0,9351954432.0,5.12425824256e+11,3628.0,12168.0,1738.0,1503.0,05-04 19:45:45
0.0,0.0,19009167360.0,1069056.0,9351954432.0,5.12425156608e+11,2396.0,15316.0,0.0,0.0,05-04 19:45:46
0.0,0.0,19009720320.0,1069056.0,9360424960.0,5.1241613312e+11,2176.0,15712.0,0.0,90.0,05-04 19:45:47
0.0,0.0,19014696960.0,1069056.0,9348104192.0,5.12423477248e+11,2928.0,16752.0,303.0,0.0,05-04 19:45:48
0.0,0.0,19013619712.0,1069056.0,9348874240.0,5.12423784448e+11,2204.0,8320.0,1798.0,4343.0,05-04 19:45:49
0.0,0.0,19029536768.0,1069056.0,9378136064.0,5.12378605568e+11,1888.0,4448.0,1738.0,1503.0,05-04 19:45:50
0.0,0.0,19029663744.0,1069056.0,9378136064.0,5.12378478592e+11,984.0,3152.0,0.0,0.0,05-04 19:45:51
0.0,0.0,19029053440.0,1069056.0,9378906112.0,5.12378318848e+11,2328.0,5360.0,0.0,0.0,05-04 19:45:52
0.0,2381.0,19029229568.0,1069056.0,9378136064.0,5.12378912768e+11,1888.0,5464.0,0.0,0.0,05-04 19:45:53
0.0,0.0,19034619904.0,1069056.0,9365815296.0,5.123858432e+11,1888.0,5920.0,1798.0,1545.0,05-04 19:45:54
0.0,0.0,19035271168.0,1069056.0,9362735104.0,5.12388272128e+11,2852.0,7068.0,1738.0,1503.0,05-04 19:45:55
0.0,0.0,19036078080.0,1069056.0,9383526400.0,5.1236667392e+11,2100.0,7004.0,0.0,0.0,05-04 19:45:56
0.0,0.0,19039305728.0,1069056.0,9371205632.0,5.1237576704e+11,2784.0,10280.0,0.0,0.0,05-04 19:45:57
0.0,0.0,19049062400.0,1069056.0,9388146688.0,5.12349069312e+11,2328.0,8340.0,0.0,0.0,05-04 19:45:58
0.0,0.0,19048587264.0,1069056.0,9408937984.0,5.12328753152e+11,544.0,3040.0,1738.0,1503.0,05-04 19:45:59
