#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:38:47      0      8      0      0      0      0      0      0      0 
 16:38:48      0      0      0      0      0      0      0      0      0 
 16:38:49      0      0      0      0      0      0      0     21     27 
 16:38:51      0      0      0      0      0      0      0      0      0 
 16:38:52      0      0      0      0      0      0      0      0      0 
 16:38:53      0      0      0      0      0      0      0      0      0 
 16:38:54      0      0      0      0      0      0      0      0      0 
 16:38:55      0      0      0      0      0      0      0      0      0 
 16:38:56      0      0      0      0      0      0      0      0      0 
 16:38:57      0      0      0      0      0      0      0      0      0 
 16:38:58      0      0      0      0      0      0      0      0      0 
 16:38:59      0      0      0      0      0      0      0      0      0 
 16:39:00      0      0      0      0      0      0      0      0      0 
 16:39:01      0      0      0      0      0      0      0      0      0 
 16:39:02      0      3      0      0      0      0      0      0      0 
 16:39:03      0      0      0      0      0      0      0      0      0 
 16:39:04      0     13     11      0      0      0      0      3      0 
 16:39:05      0      0      0      0      0      0      0      0      0 
 16:39:06      0     71     25      0      0      0      0      3     11 
 16:39:07      0     59     39      0      0      0      0   2259   1205 
 16:39:09      0     92     55      0      0      0      0    579      9 
 16:39:10      0     98     59      0      0      0      0      0      0 
 16:39:11      0     80     52      0      0      0      0     13    629 
 16:39:12      0     70     42      0      0      0      0   2237   1022 
 16:39:13      0     98     59      0      0      0      0    365      8 
 16:39:14      0     37     27      0      0      0      0     11      2 
 16:39:15      0     97     58      0      0      0      0     21      7 
 16:39:16      0     70     47      0      0      0      0   2227    479 
 16:39:17      0     86     49      0      0      0      0   1167    233 
 16:39:18      0     98     58      0      0      0      0      0      0 
 16:39:19      0    100     58      0      0      0      0      0     85 
 16:39:20      0     76     50      0      0      0      0   1460    298 
 16:39:21      0     67     41      0      0      0      0   2404    575 
 16:39:22      0     38     27      0      0      0      0      0     80 
 16:39:23      0     96     57      0      0      0      0      0      0 
 16:39:24      0     99     60      0      0      0      0    560     16 
 16:39:25      0     28     26      0      0      0      0      2    736 
 16:39:26      0     52     37      0      0      0      0   2460    588 
 16:39:28      0     78     46      0      0      0      0    314    311 
 16:39:29      0     94     55      0      0      0      0      0      0 
 16:39:30      0    100     58      0      0      0      0     20      6 
 16:39:31      0     26     13      0      0      0      0     22      5 
 16:39:32      0     27     26      0      0      0      0   2584   1065 
 16:39:33      0     64     41      0      0      0      0    695     10 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:39:34      0     98     57      0      0      0      0      0      0 
 16:39:35      0     22      4      0      0      0      0     15     58 
 16:39:36      0     38     31      0      0      0      0   2715    937 
 16:39:37      0     66     41      0      0      0      0    699     10 
 16:39:38      0     96     57      0      0      0      0      0      0 
 16:39:39      0     64     31      0      0      0      0      0      0 
 16:39:40      0      5      4      0      0      0      0    226    912 
 16:39:41      0     41     32      0      0      0      0   1990    188 
 16:39:42      0     87     50      0      0      0      0      0      0 
 16:39:43      0     57     39      0      0      0      0      0      0 
 16:39:44      0     50     35      0      0      0      0    451     29 
 16:39:45      0     24      7      0      0      0      0   2261    252 
 16:39:47      0     41     32      0      0      0      0   1580    131 
 16:39:48      0     71     42      0      0      0      0   1922   1236 
 16:39:49      0      0      0      0      0      0      0      0      0 
 16:39:50      0     39      2      0      0      0      0     19      4 
 16:39:51      0     16      5      0      0      0      0   2074    494 
 16:39:52      0     34     29      0      0      0      0   1146     96 
 16:39:53      0     51     36      0      0      0      0      0      0 
 16:39:54      0    100     50      0      0      0      0      3      0 
 16:39:55      0     94     55      0      0      0      0      0      0 
 16:39:56      0     70     50      0      0      0      0     15      3 
 16:39:57      0     37     27      0      0      0      0      9     22 
 16:39:58      0     91     53      0      0      0      0   1084    241 
 16:39:59      0     95     56      0      0      0      0      0      0 
 16:40:00      0     98     58      0      0      0      0      0     81 
 16:40:01      0     69     50      0      0      0      0   1709    621 
 16:40:02      0     77     45      0      0      0      0   2336    482 
 16:40:03      0     97     58      0      0      0      0    622     30 
 16:40:05      0     98     57      0      0      0      0      0      0 
 16:40:06      0     38     27      0      0      0      0      0      0 
 16:40:07      0     78     31      0      0      0      0   1929    626 
 16:40:08      0     64     40      0      0      0      0   2436    895 
 16:40:09      0     83     47      0      0      0      0    685     11 
 16:40:10      0     88     53      0      0      0      0      0      0 
 16:40:11      0     91     55      0      0      0      0    681      7 
 16:40:12      0     27     25      0      0      0      0   1968    860 
 16:40:13      0     54     38      0      0      0      0   1942    207 
 16:40:14      0     26     23      0      0      0      0      0     79 
 16:40:15      0     93     54      0      0      0      0      0      0 
 16:40:16      0     22      7      0      0      0      0     20      4 
 16:40:17      0     22     21      0      0      0      0   2765    292 
 16:40:18      0     59     39      0      0      0      0    918    391 
 16:40:19      0     89     49      0      0      0      0      0      0 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:40:20      0     41     23      0      0      0      0      0     85 
 16:40:21      0     25     14      0      0      0      0   1381    692 
 16:40:22      0     16     14      0      0      0      0      2      0 
 16:40:24      0     64     40      0      0      0      0     29      0 
 16:40:25      0     95     55      0      0      0      0      0      0 
 16:40:26      0     22      9      0      0      0      0     12    116 
 16:40:27      0     32     28      0      0      0      0   1930   1439 
 16:40:28      0     55     37      0      0      0      0    634    207 
 16:40:29      0     85     48      0      0      0      0      0      0 
 16:40:30      0     44     21      0      0      0      0      0     85 
 16:40:31      0     43     30      0      0      0      0    321     48 
 16:40:32      0      0      0      0      0      0      0      0      0 
 16:40:33      0      0      0      0      0      0      0      0      0 
 16:40:34      0      0      0      0      0      0      0      0      0 
 16:40:35      0      0      0      0      0      0      0      0      0 
 16:40:36      0      0      0      0      0      0      0      0      0 
 16:40:37      0      0      0      0      0      0 
