"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t02",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet18_cifar10_deepspeed_stage_2_batch1024_nodes3/dstat_r1t02.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","04 Apr 2024 17:12:33 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.026,0.696,12827803648.0,2138112.0,3023847424.0,5.24933558272e+11,0.0,0.0,0.0,0.0,04-04 17:12:33
0.0,0.0,12856479744.0,2138112.0,3023847424.0,5.24904882176e+11,22020.0,19652.0,14658.0,15314.0,04-04 17:12:34
0.0,0.0,12831731712.0,2138112.0,3034628096.0,5.24918849536e+11,11217884.0,42764.0,18536.0,43722.0,04-04 17:12:35
7.0,18.0,13016391680.0,2138112.0,3127803904.0,5.2464101376e+11,97402416.0,84160.0,1378.0,788.0,04-04 17:12:36
0.0,2.0,13117140992.0,2138112.0,3928653824.0,5.23739414528e+11,834466608.0,336852.0,1078.0,964.0,04-04 17:12:37
0.0,0.0,13196152832.0,2138112.0,4126556160.0,5.23462500352e+11,210826276.0,410920.0,60.0,0.0,04-04 17:12:38
0.0,0.0,13229465600.0,2138112.0,4131946496.0,5.23423797248e+11,5076384.0,419236.0,1224.0,824.0,04-04 17:12:39
0.0,0.0,13229862912.0,2138112.0,4132716544.0,5.23422629888e+11,448.0,676.0,7524.0,3693.0,04-04 17:12:40
0.0,0.0,13391020032.0,2138112.0,4133486592.0,5.2326070272e+11,83492.0,65096.0,10297.0,5807.0,04-04 17:12:41
0.0,0.0,13453520896.0,2138112.0,4135026688.0,5.2319666176e+11,1545116.0,358060.0,264.0,132.0,04-04 17:12:42
0.0,996.0,13468884992.0,2138112.0,4151197696.0,5.23165126656e+11,8644328.0,309412.0,60.0,0.0,04-04 17:12:43
0.0,0.0,13490036736.0,2138112.0,4175839232.0,5.23119333376e+11,24136316.0,893988.0,0.0,0.0,04-04 17:12:44
3.0,0.0,13521104896.0,2138112.0,4221272064.0,5.23042832384e+11,45755656.0,541312.0,0.0,2780.0,04-04 17:12:45
0.0,0.0,13604384768.0,2138112.0,4237443072.0,5.22943381504e+11,16167768.0,416648.0,3678.0,3138.0,04-04 17:12:46
3.0,0.0,13626486784.0,2138112.0,4343709696.0,5.22815012864e+11,109405332.0,587764.0,392.0,132.0,04-04 17:12:47
0.0,1081.0,13644623872.0,2138112.0,4356030464.0,5.22784555008e+11,2832732.0,191204.0,60.0,0.0,04-04 17:12:48
0.0,0.0,14168899584.0,2138112.0,4371431424.0,5.22244878336e+11,16493348.0,7668.0,2074.0,1250.0,04-04 17:12:49
0.0,0.0,14408568832.0,2138112.0,4503109632.0,5.2187353088e+11,125168872.0,39572.0,4834.0,2056.0,04-04 17:12:50
2.0,0.0,14507663360.0,2138112.0,4758765568.0,5.21518780416e+11,147291804.0,222504.0,3476.0,3006.0,04-04 17:12:51
0.0,1.0,14503419904.0,2138112.0,4883513344.0,5.21398276096e+11,49726052.0,49980.0,2832.0,1066.0,04-04 17:12:52
0.0,0.0,14559477760.0,2138112.0,4945117184.0,5.212806144e+11,16493828.0,9792.0,228.0,132.0,04-04 17:12:53
0.0,0.0,14880239616.0,2138112.0,5408686080.0,5.20496283648e+11,446272088.0,129524.0,60.0,0.0,04-04 17:12:54
0.0,0.0,15071129600.0,2138112.0,5541904384.0,5.2017217536e+11,148723116.0,47776.0,228.0,132.0,04-04 17:12:55
0.0,0.0,15381807104.0,2138112.0,5704384512.0,5.19699017728e+11,170791976.0,6697740.0,3476.0,3006.0,04-04 17:12:56
0.0,0.0,15640711168.0,2138112.0,5818351616.0,5.1932614656e+11,123456572.0,42204.0,60.0,0.0,04-04 17:12:57
0.0,0.0,15640551424.0,2138112.0,5819121664.0,5.19325536256e+11,3136.0,6896.0,0.0,4206.0,04-04 17:12:58
0.0,0.0,15643561984.0,2138112.0,5829132288.0,5.19312515072e+11,3456.0,8788.0,0.0,2840.0,04-04 17:12:59
0.0,0.0,15643119616.0,2138112.0,5839912960.0,5.19302176768e+11,3568.0,10660.0,0.0,0.0,04-04 17:13:00
0.0,0.0,15643340800.0,2138112.0,5829902336.0,5.19311966208e+11,4016.0,12732.0,3596.0,3006.0,04-04 17:13:01
0.0,0.0,15644770304.0,2138112.0,5838372864.0,5.19302066176e+11,2012.0,7448.0,0.0,0.0,04-04 17:13:02
0.0,0.0,15648817152.0,2138112.0,5838372864.0,5.19298019328e+11,3444.0,14832.0,0.0,0.0,04-04 17:13:03
0.0,0.0,15646957568.0,2138112.0,5842223104.0,5.19296028672e+11,4372.0,17172.0,0.0,0.0,04-04 17:13:04
0.0,0.0,15686696960.0,2138112.0,5849923584.0,5.192485888e+11,3932.0,18532.0,0.0,17104.0,04-04 17:13:05
0.0,7.0,15690665984.0,2138112.0,5837602816.0,5.19256940544e+11,4800.0,26440.0,3476.0,3006.0,04-04 17:13:06
0.0,0.0,15691866112.0,2138112.0,5837602816.0,5.19255740416e+11,3932.0,22456.0,0.0,0.0,04-04 17:13:07
0.0,0.0,15694508032.0,2138112.0,5845303296.0,5.19245398016e+11,2512.0,12980.0,0.0,0.0,04-04 17:13:08
0.0,0.0,15697133568.0,2138112.0,5846073344.0,5.19242002432e+11,3932.0,24916.0,0.0,0.0,04-04 17:13:09
0.0,0.0,15698010112.0,2138112.0,5846073344.0,5.19241125888e+11,3932.0,26736.0,60.0,42.0,04-04 17:13:10
0.0,0.0,15697588224.0,2138112.0,5855313920.0,5.192323072e+11,5236.0,29896.0,3476.0,3006.0,04-04 17:13:11
