"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t03",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet18_cifar10_deepspeed_stage_2_batch1024_nodes3/dstat_r1t03.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","04 Apr 2024 17:12:34 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.004,0.644,10368442368.0,1089536.0,18540888064.0,5.11876927488e+11,0.0,0.0,0.0,0.0,04-04 17:12:34
0.0,0.0,10397618176.0,1089536.0,18540888064.0,5.1184775168e+11,4308.0,2700.0,4759.0,20059.0,04-04 17:12:35
4.0,0.0,10407510016.0,1089536.0,18587860992.0,5.11790886912e+11,49086068.0,42468.0,14903.0,4692.0,04-04 17:12:36
0.0,5.0,10559975424.0,1089536.0,18958254080.0,5.11268028416e+11,377128092.0,291580.0,76.0,66.0,04-04 17:12:37
0.0,0.0,10706280448.0,1089536.0,19638206464.0,5.10441771008e+11,717522124.0,226012.0,0.0,0.0,04-04 17:12:38
0.0,0.0,10745405440.0,1089536.0,19681329152.0,5.10359523328e+11,48596988.0,750684.0,186.0,132.0,04-04 17:12:39
0.0,778.0,10764791808.0,1089536.0,19682099200.0,5.10339366912e+11,1351156.0,74204.0,3080.0,4959.0,04-04 17:12:40
0.0,0.0,10918510592.0,1089536.0,19682869248.0,5.1018487808e+11,41712.0,30828.0,2397.0,4336.0,04-04 17:12:41
0.0,0.0,10986991616.0,1089536.0,19685949440.0,5.10113316864e+11,2365800.0,327712.0,66.0,132.0,04-04 17:12:42
0.0,0.0,10999713792.0,1089536.0,19699810304.0,5.10086733824e+11,6174816.0,338836.0,0.0,0.0,04-04 17:12:43
0.0,0.0,11023687680.0,1089536.0,19727532032.0,5.10035038208e+11,28364988.0,841556.0,60.0,0.0,04-04 17:12:44
3.0,0.0,11051909120.0,1089536.0,19772194816.0,5.09962153984e+11,44666416.0,595068.0,0.0,0.0,04-04 17:12:45
0.0,0.0,11140395008.0,1089536.0,19789905920.0,5.09855956992e+11,17865748.0,442520.0,1569.0,7487.0,04-04 17:12:46
3.0,0.0,11161726976.0,1089536.0,19897712640.0,5.09726818304e+11,111074640.0,575912.0,66.0,196.0,04-04 17:12:47
0.0,0.0,11185065984.0,1089536.0,19910033408.0,5.09691158528e+11,3732888.0,269896.0,60.0,0.0,04-04 17:12:48
0.0,9.0,11706863616.0,1089536.0,19926204416.0,5.09153189888e+11,16494184.0,9496.0,891.0,1027.0,04-04 17:12:49
0.0,0.0,11867934720.0,1089536.0,20040941568.0,5.08877381632e+11,105382004.0,38492.0,1958.0,2923.0,04-04 17:12:50
0.0,0.0,12076965888.0,1089536.0,20273496064.0,5.08435795968e+11,125582240.0,70584.0,1503.0,1738.0,04-04 17:12:51
0.0,0.0,12069064704.0,1089536.0,20430585856.0,5.0828660736e+11,122477972.0,59304.0,533.0,1416.0,04-04 17:12:52
