"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r1t00",,,,"User:","xsedeu3458"
"Cmdline:","dstat --output pytorch/logs/gpu_resnet50_cifar10_ddp_batch512_nodes3/dstat_r1t00.csv --integer --io --mem --net -N ib0,eth0 --time --nocolor",,,,"Date:","05 Apr 2024 16:49:52 EDT"

"io/total",,"memory usage",,,,"net/ib0",,"net/eth0",,"system"
"read","writ","used","buff","cach","free","recv","send","recv","send","time"
0.031,0.717,9850998784.0,2138112.0,5543043072.0,5.25391167488e+11,0.0,0.0,0.0,0.0,05-04 16:49:52
0.0,0.0,9879445504.0,2138112.0,5543043072.0,5.25362720768e+11,12128.0,9576.0,6420.0,6254.0,05-04 16:49:53
1.0,0.0,9853972480.0,2138112.0,5543043072.0,5.25388193792e+11,19184.0,18028.0,12011.0,13045.0,05-04 16:49:54
2.0,0.0,9860190208.0,2138112.0,5596946432.0,5.25328072704e+11,57534996.0,61132.0,16339.0,40173.0,05-04 16:49:55
6.0,3.0,10077097984.0,2138112.0,5647769600.0,5.2506034176e+11,52118440.0,93976.0,1594.0,874.0,05-04 16:49:56
0.0,2.0,10148581376.0,2138112.0,6447079424.0,5.24189548544e+11,836867104.0,280720.0,0.0,0.0,05-04 16:49:57
0.0,0.0,10223017984.0,2138112.0,6645751808.0,5.23916439552e+11,208205556.0,473404.0,312.0,66.0,05-04 16:49:58
0.0,0.0,10251771904.0,2138112.0,6651142144.0,5.23882295296e+11,4240600.0,354108.0,4971.0,2192.0,05-04 16:49:59
0.0,67.0,10252394496.0,2138112.0,6651142144.0,5.23881672704e+11,668.0,876.0,5262.0,3457.0,05-04 16:50:00
0.0,0.0,10345127936.0,2138112.0,6651142144.0,5.23788939264e+11,41500.0,30640.0,8374.0,4206.0,05-04 16:50:01
0.0,398.0,10457288704.0,2138112.0,6651142144.0,5.23676778496e+11,365520.0,297112.0,1203.0,690.0,05-04 16:50:02
0.0,0.0,10486857728.0,2138112.0,6665003008.0,5.23633348608e+11,5452896.0,303160.0,0.0,0.0,05-04 16:50:03
0.0,0.0,10505621504.0,2138112.0,6688874496.0,5.23590713344e+11,25213988.0,576556.0,90.0,2930.0,05-04 16:50:04
3.0,0.0,10524368896.0,2138112.0,6725836800.0,5.23535003648e+11,36314384.0,672684.0,1669.0,1503.0,05-04 16:50:05
0.0,0.0,10568437760.0,2138112.0,6745088000.0,5.23471683584e+11,18559852.0,524104.0,1801.0,1503.0,05-04 16:50:06
0.0,0.0,10688380928.0,2138112.0,6762029056.0,5.2333479936e+11,9560952.0,121464.0,202.0,132.0,05-04 16:50:07
0.0,0.0,11276910592.0,2138112.0,6778200064.0,5.22730098688e+11,16494584.0,9880.0,5654.0,2462.0,05-04 16:50:08
0.0,1.0,11541639168.0,2138112.0,7016144896.0,5.2222742528e+11,125207608.0,67524.0,1435.0,892.0,05-04 16:50:09
0.0,0.0,11554828288.0,2138112.0,7243309056.0,5.21987072e+11,229984240.0,234008.0,4323.0,2031.0,05-04 16:50:10
0.0,0.0,11949232128.0,2138112.0,7780802560.0,5.21055174656e+11,532243108.0,167676.0,1801.0,1593.0,05-04 16:50:11
0.0,0.0,12193640448.0,2138112.0,7833165824.0,5.20758403072e+11,63342204.0,21456.0,228.0,132.0,05-04 16:50:12
0.0,0.0,12396265472.0,2138112.0,8033378304.0,5.20355565568e+11,193063984.0,57900.0,392.0,132.0,05-04 16:50:13
0.0,706.0,12397072384.0,2138112.0,8039538688.0,5.20348598272e+11,1792.0,3272.0,60.0,42.0,05-04 16:50:14
0.0,0.0,12399558656.0,2138112.0,8040308736.0,5.20345341952e+11,4664.0,32020.0,1669.0,1503.0,05-04 16:50:15
0.0,0.0,12403961856.0,2138112.0,8048779264.0,5.20332468224e+11,4440.0,9840.0,1801.0,1503.0,05-04 16:50:16
0.0,0.0,12429283328.0,2138112.0,8054169600.0,5.20301756416e+11,3356.0,10428.0,0.0,0.0,05-04 16:50:17
0.0,0.0,12428378112.0,2138112.0,8055709696.0,5.20301121536e+11,3356.0,12144.0,0.0,0.0,05-04 16:50:18
0.0,563.0,12432482304.0,2138112.0,8059559936.0,5.20293167104e+11,3136.0,13664.0,0.0,0.0,05-04 16:50:19
0.0,0.0,12432347136.0,2138112.0,8059559936.0,5.20293302272e+11,4164.0,16184.0,1669.0,1503.0,05-04 16:50:20
0.0,0.0,12436549632.0,2138112.0,8060329984.0,5.20288329728e+11,3932.0,17592.0,1801.0,1503.0,05-04 16:50:21
0.0,0.0,12455321600.0,2138112.0,8079581184.0,5.2025030656e+11,3924.0,19304.0,0.0,1252.0,05-04 16:50:22
0.0,0.0,12456226816.0,2138112.0,8080351232.0,5.20248631296e+11,4372.0,21356.0,0.0,0.0,05-04 16:50:23
0.0,0.0,12460589056.0,2138112.0,8086511616.0,5.20238108672e+11,3932.0,22660.0,0.0,4262.0,05-04 16:50:24
0.0,0.0,12461703168.0,2138112.0,8096522240.0,5.20226983936e+11,2412.0,17012.0,1669.0,1503.0,05-04 16:50:25
0.0,0.0,12471455744.0,2138112.0,8101142528.0,5.20212611072e+11,4028.0,25240.0,1801.0,1503.0,05-04 16:50:26
0.0,0.0,12491558912.0,2138112.0,8104992768.0,5.20188657664e+11,4364.0,27468.0,0.0,0.0,05-04 16:50:27
0.0,0.0,12492152832.0,2138112.0,8115003392.0,5.2017805312e+11,3932.0,29108.0,303.0,0.0,05-04 16:50:28
0.0,0.0,12494913536.0,2138112.0,8112693248.0,5.2017760256e+11,3356.0,5504.0,0.0,0.0,05-04 16:50:29
0.0,26.0,12529799168.0,2138112.0,8119623680.0,5.20135786496e+11,16492476.0,12196.0,1972.0,1503.0,05-04 16:50:30
0.0,0.0,12538597376.0,2138112.0,8121933824.0,5.20124678144e+11,3872.0,8364.0,1801.0,1795.0,05-04 16:50:31
0.0,0.0,12541988864.0,2138112.0,8128094208.0,5.20115126272e+11,3568.0,10476.0,0.0,0.0,05-04 16:50:32
0.0,0.0,12543729664.0,2138112.0,8128864256.0,5.20112615424e+11,3356.0,11944.0,0.0,0.0,05-04 16:50:33
0.0,0.0,12545490944.0,2138112.0,8142725120.0,5.2009699328e+11,1792.0,7616.0,0.0,0.0,05-04 16:50:34
0.0,0.0,12548202496.0,2138112.0,8143495168.0,5.2009351168e+11,3136.0,14416.0,1669.0,1503.0,05-04 16:50:35
0.0,0.0,12560977920.0,2138112.0,8154275840.0,5.20069955584e+11,4056.0,16748.0,1801.0,1503.0,05-04 16:50:36
0.0,0.0,12572139520.0,2138112.0,8161976320.0,5.20051093504e+11,3712.0,18044.0,303.0,0.0,05-04 16:50:37
0.0,0.0,12572057600.0,2138112.0,8162746368.0,5.20050405376e+11,3712.0,19864.0,0.0,0.0,05-04 16:50:38
0.0,1101.0,12576223232.0,2138112.0,8162746368.0,5.20046239744e+11,4804.0,22516.0,0.0,0.0,05-04 16:50:39
0.0,0.0,12583002112.0,2138112.0,8176607232.0,5.200256e+11,5184.0,141836.0,1669.0,1503.0,05-04 16:50:40
0.0,0.0,12583297024.0,2138112.0,8177377280.0,5.2002453504e+11,3712.0,24992.0,3202.0,2221.0,05-04 16:50:41
0.0,0.0,12586004480.0,2138112.0,8192008192.0,5.20007196672e+11,4152.0,26984.0,0.0,0.0,05-04 16:50:42
0.0,0.0,12595458048.0,2138112.0,8198168576.0,5.1999158272e+11,2176.0,15340.0,0.0,0.0,05-04 16:50:43
0.0,64.0,12597207040.0,2138112.0,8198168576.0,5.19989833728e+11,3808.0,29668.0,0.0,0.0,05-04 16:50:44
0.0,0.0,12606246912.0,2138112.0,8211259392.0,5.1996770304e+11,8160.0,24596.0,268.0,785.0,05-04 16:50:45
0.0,0.0,12609019904.0,2138112.0,8205099008.0,5.19971090432e+11,4984.0,9416.0,3202.0,4645.0,05-04 16:50:46
0.0,0.0,12610797568.0,2138112.0,8208949248.0,5.19965462528e+11,3232.0,9424.0,520.0,564.0,05-04 16:50:47
0.0,0.0,12621488128.0,2138112.0,8214339584.0,5.19949381632e+11,3672.0,11480.0,0.0,0.0,05-04 16:50:48
0.0,12.0,12622499840.0,2138112.0,8220499968.0,5.19942209536e+11,2100.0,7756.0,0.0,0.0,05-04 16:50:49
0.0,0.0,12631965696.0,2138112.0,8219729920.0,5.19933513728e+11,4128.0,17796.0,303.0,0.0,05-04 16:50:50
0.0,0.0,12631777280.0,2138112.0,8234360832.0,5.19919071232e+11,3864.0,16524.0,3530.0,3138.0,05-04 16:50:51
0.0,0.0,12636012544.0,2138112.0,8240521216.0,5.19908675584e+11,3808.0,18040.0,60.0,42.0,05-04 16:50:52
0.0,0.0,12641222656.0,2138112.0,8247451648.0,5.1989653504e+11,2616.0,11500.0,0.0,0.0,05-04 16:50:53
0.0,0.0,12641210368.0,2138112.0,8260935680.0,5.19883063296e+11,4028.0,20860.0,0.0,0.0,05-04 16:50:54
0.0,0.0,12642525184.0,2138112.0,8261738496.0,5.19880945664e+11,4572.0,30336.0,0.0,0.0,05-04 16:50:55
0.0,0.0,12645216256.0,2138112.0,8255062016.0,5.19884931072e+11,4444.0,24736.0,3470.0,3006.0,05-04 16:50:56
0.0,0.0,12646006784.0,2138112.0,8262762496.0,5.19876440064e+11,4468.0,26372.0,0.0,0.0,05-04 16:50:57
0.0,0.0,12657516544.0,2138112.0,8268922880.0,5.1985876992e+11,4028.0,27688.0,0.0,0.0,05-04 16:50:58
0.0,0.0,12669501440.0,2138112.0,8285863936.0,5.19829843968e+11,4028.0,29612.0,0.0,0.0,05-04 16:50:59
0.0,23.0,12669042688.0,2138112.0,8294334464.0,5.19821832192e+11,2300.0,12984.0,0.0,0.0,05-04 16:51:00
0.0,0.0,12673134592.0,2138112.0,8295366656.0,5.19816708096e+11,3892.0,7516.0,3470.0,3642.0,05-04 16:51:01
0.0,0.0,12672999424.0,2138112.0,8295366656.0,5.19816843264e+11,3232.0,8532.0,303.0,0.0,05-04 16:51:02
0.0,0.0,12682194944.0,2138112.0,8297676800.0,5.198053376e+11,3452.0,10472.0,0.0,0.0,05-04 16:51:03
0.0,0.0,12683169792.0,2138112.0,8298446848.0,5.19803592704e+11,3452.0,12184.0,0.0,5858.0,05-04 16:51:04
0.0,0.0,12684304384.0,2138112.0,8299216896.0,5.19801688064e+11,3232.0,13708.0,0.0,0.0,05-04 16:51:05
0.0,0.0,12686544896.0,2138112.0,8304934912.0,5.19793729536e+11,2900.0,12416.0,3470.0,3006.0,05-04 16:51:06
0.0,0.0,12688961536.0,2138112.0,8307245056.0,5.19789002752e+11,4048.0,17656.0,0.0,0.0,05-04 16:51:07
0.0,0.0,12719837184.0,2138112.0,8317255680.0,5.1974811648e+11,3484.0,16460.0,90.0,90.0,05-04 16:51:08
0.0,1066.0,12721119232.0,2138112.0,8331116544.0,5.19732973568e+11,2396.0,11908.0,606.0,0.0,05-04 16:51:09
0.0,80.0,12722499584.0,2138112.0,8338817024.0,5.19723892736e+11,5192.0,124368.0,0.0,944.0,05-04 16:51:10
0.0,0.0,12724088832.0,2138112.0,8338817024.0,5.19722303488e+11,3808.0,23096.0,3470.0,3096.0,05-04 16:51:11
0.0,0.0,12727148544.0,2138112.0,8341127168.0,5.19716933632e+11,4028.0,24972.0,0.0,0.0,05-04 16:51:12
0.0,0.0,12743962624.0,2138112.0,8352677888.0,5.19688568832e+11,4028.0,26688.0,60.0,42.0,05-04 16:51:13
0.0,2.0,12745322496.0,2138112.0,8361148416.0,5.19678738432e+11,3908.0,28208.0,210.0,90.0,05-04 16:51:14
0.0,0.0,12748103680.0,2138112.0,8367308800.0,5.19669796864e+11,2728.0,31028.0,0.0,0.0,05-04 16:51:15
