#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 16:49:55      0      6      0      0      0      0      0      0      0 
 16:49:56      0      0      0      0      0      0      0     15     30 
 16:49:57      0      0      0      0      0      0      0      0      0 
 16:49:58      0      0      0      0      0      0      0      0      0 
 16:49:59      0      0      0      0      0      0      0      0      0 
 16:50:00      0      0      0      0      0      0      0      4      0 
 16:50:01      0      0      0      0      0      0      0      0      0 
 16:50:02      0      0      0      0      0      0      0      0      0 
 16:50:03      0      0      0      0      0      0      0      0      0 
 16:50:04      0      0      0      0      0      0      0      0      0 
 16:50:05      0      0      0      0      0      0      0      0      0 
 16:50:06      0      0      0      0      0      0      0      0      0 
 16:50:07      0      0      0      0      0      0      0      0      0 
 16:50:08      0      3      0      0      0      0      0      0      0 
 16:50:09      0      0      0      0      0      0      0      0      0 
 16:50:10      0     48     31      0      0      0      0      1      0 
 16:50:12      0      0      0      0      0      0      0      0      2 
 16:50:13      0    100     62      0      0      0      0     22      7 
 16:50:14      0     99     65      0      0      0      0     22      7 
 16:50:15      0     92     76      0      0      0      0     20      6 
 16:50:16      0    100     81      0      0      0      0     18      5 
 16:50:17      0    100     79      0      0      0      0     17      4 
 16:50:18      0    100     73      0      0      0      0     18      5 
 16:50:19      0     86     72      0      0      0      0     15      4 
 16:50:20      0     88     69      0      0      0      0     17      4 
 16:50:21      0    100     75      0      0      0      0     17      4 
 16:50:22      0    100     71      0      0      0      0     17      4 
 16:50:23      0     87     76      0      0      0      0     15      3 
 16:50:24      0     88     73      0      0      0      0     16      4 
 16:50:25      0     94     77      0      0      0      0     14      2 
 16:50:26      0    100     79      0      0      0      0     17      4 
 16:50:27      0     86     68      0      0      0      0     20      6 
 16:50:28      0     96     85      0      0      0      0     17      4 
 16:50:30      0     65     45      0      0      0      0     13      3 
 16:50:31      0     27     16      0      0      0      0   2457   1077 
 16:50:32      0    100     75      0      0      0      0   2655   1046 
 16:50:33      0     87     65      0      0      0      0      9    615 
 16:50:34      0     87     70      0      0      0      0    810    460 
 16:50:35      0     87     76      0      0      0      0    723    298 
 16:50:36      0    100     79      0      0      0      0     11    194 
